joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1, h term torque_1, current_time
-1.85974,-1.8625,0.00135503,0.00129295,-19,0,0.568
-1.85973,-1.8625,0.00137367,0.00114073,-21,0,0.572
-1.85973,-1.86249,0.00139243,0.00094104,-23,0,0.576
-1.85972,-1.86249,0.00141131,0.000714966,-25,0,0.58
-1.85972,-1.86249,0.00143031,0.000512569,-28,0,0.584
-1.85971,-1.86249,0.00144943,0.000284989,-30,0,0.588
-1.85971,-1.86249,0.00146867,0.000158454,-31,0,0.592
-1.8597,-1.86249,0.00148802,8.81002e-05,-32,0,0.596
-1.85969,-1.86249,0.0015075,4.89837e-05,-33,0,0.6
-1.85969,-1.86249,0.0015271,6.55845e-05,-33,0,0.604
-1.85968,-1.86249,0.00154681,3.6465e-05,-34,0,0.608
-1.85968,-1.86249,0.00156665,5.8624e-05,-34,0,0.612
-1.85967,-1.86249,0.0015866,7.09445e-05,-34,0,0.616
-1.85966,-1.86249,0.00160667,0.000116144,-33,0,0.62
-1.85966,-1.86249,0.00162686,0.000141275,-33,0,0.624
-1.85965,-1.86249,0.00164717,0.000116899,-34,0,0.628
-1.85964,-1.86249,0.00166759,0.000141695,-34,0,0.632
-1.85964,-1.86249,0.00168813,0.000155481,-34,0,0.636
-1.85963,-1.86248,0.0017088,0.000163147,-34,0,0.64
-1.85962,-1.86248,0.00172957,0.000205758,-34,0,0.644
-1.85962,-1.86248,0.00175047,0.000152751,-35,0,0.648
-1.85961,-1.86248,0.00177148,0.000161629,-35,0,0.652
-1.8596,-1.86248,0.00179262,0.000128215,-36,0,0.656
-1.85959,-1.86248,0.00181386,0.000109637,-36,0,0.66
-1.85959,-1.86248,0.00183523,9.93077e-05,-36,0,0.664
-1.85958,-1.86248,0.00185671,0.000131914,-36,0,0.668
-1.85957,-1.86248,0.00187831,7.33442e-05,-37,0,0.672
-1.85957,-1.86248,0.00190002,4.07794e-05,-38,0,0.676
-1.85956,-1.86248,0.00192185,6.10229e-05,-38,0,0.68
-1.85955,-1.86248,0.0019438,3.39287e-05,-38,0,0.684
-1.85954,-1.86248,0.00196586,1.88644e-05,-39,0,0.688
-1.85953,-1.86248,0.00198804,4.88381e-05,-39,0,0.692
-1.85953,-1.86248,0.00201034,0.000103853,-38,0,0.696
-1.85952,-1.86248,0.00203275,0.000134441,-38,0,0.7
-1.85951,-1.86248,0.00205527,0.000151448,-38,0,0.704
-1.8595,-1.86248,0.00207791,0.000160904,-39,0,0.708
-1.85949,-1.86248,0.00210067,0.000166162,-39,0,0.712
-1.85948,-1.86248,0.00212354,0.000245784,-38,0,0.716
-1.85948,-1.86247,0.00214653,0.000251704,-39,0,0.72
-1.85947,-1.86247,0.00216963,0.000331695,-38,0,0.724
-1.85946,-1.86247,0.00219284,0.000337821,-38,0,0.728
-1.85945,-1.86247,0.00221617,0.000379576,-38,0,0.732
-1.85944,-1.86247,0.00223961,0.000364442,-39,0,0.736
-1.85943,-1.86247,0.00226317,0.000317678,-39,0,0.74
-1.85942,-1.86247,0.00228684,0.000291678,-40,0,0.744
-1.85941,-1.86247,0.00231063,0.000238872,-41,0,0.748
-1.8594,-1.86246,0.00233453,0.000247861,-41,0,0.752
-1.85939,-1.86246,0.00235854,0.000252859,-41,0,0.756
-1.85939,-1.86246,0.00238267,0.000293988,-41,0,0.76
-1.85938,-1.86246,0.00240691,0.000316855,-41,0,0.764
-1.85937,-1.86246,0.00243126,0.000367919,-41,0,0.768
-1.85936,-1.86246,0.00245573,0.000396311,-41,0,0.772
-1.85935,-1.86246,0.00248031,0.000450446,-41,0,0.776
-1.85934,-1.86245,0.002505,0.000480545,-41,0,0.78
-1.85933,-1.86245,0.0025298,0.00049728,-41,0,0.784
-1.85932,-1.86245,0.00255472,0.000583284,-40,0,0.788
-1.85931,-1.86244,0.00257975,0.000707801,-39,0,0.792
-1.8593,-1.86244,0.00260489,0.000777032,-39,0,0.796
-1.85929,-1.86244,0.00263014,0.000968923,-37,0,0.8
-1.85927,-1.86243,0.00265551,0.00111396,-36,0,0.804
-1.85926,-1.86242,0.00268098,0.001348,-34,0,0.808
-1.85925,-1.86242,0.00270657,0.00163153,-32,0,0.812
-1.85924,-1.86241,0.00273227,0.00186587,-30,0,0.816
-1.85923,-1.8624,0.00275808,0.00211121,-28,0,0.82
-1.85922,-1.86239,0.002784,0.00228597,-26,0,0.824
-1.85921,-1.86238,0.00281004,0.00245983,-25,0,0.828
-1.8592,-1.86237,0.00283618,0.00251815,-24,0,0.832
-1.85919,-1.86236,0.00286244,0.00255058,-24,0,0.836
-1.85917,-1.86235,0.0028888,0.00260696,-24,0,0.84
