joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term1[Nm], DOB Torque Term2[Nm], current_time
-0.268526,-0.26778,0.000591897,1.49379e-05,0.102829,4.91047e-06,-0.0598546,0.372
-0.268524,-0.267781,0.000604471,-3.00891e-05,0.237875,-1.52762e-05,-0.0789545,0.376
-0.268521,-0.26778,0.000617172,2.16717e-05,0.152738,1.221e-05,-0.149586,0.38
-0.268519,-0.26778,0.00063,1.20399e-05,0.207719,2.932e-06,-0.150987,0.384
-0.268516,-0.26778,0.000642956,6.68881e-06,0.253366,-5.10751e-07,-0.176201,0.388
-0.268513,-0.26778,0.000656038,3.716e-06,0.293993,-1.47244e-06,-0.210496,0.392
-0.268511,-0.26778,0.000669247,2.06445e-06,0.331997,-1.4784e-06,-0.247606,0.396
-0.268508,-0.26778,0.000682583,1.14691e-06,0.36871,-1.18821e-06,-0.285113,0.4
-0.268505,-0.26778,0.000696045,6.37175e-07,0.404872,-8.63941e-07,-0.322268,0.404
-0.268503,-0.26778,0.000709633,3.53986e-07,0.440895,-5.93202e-07,-0.358981,0.408
-0.2685,-0.26778,0.000723347,1.96659e-07,0.477006,-3.92464e-07,-0.395387,0.412
-0.268497,-0.26778,0.000737188,1.09255e-07,0.513334,-2.52985e-07,-0.431662,0.416
-0.268494,-0.26778,0.000751154,6.06972e-08,0.549949,-1.59963e-07,-0.467961,0.42
-0.268491,-0.26778,0.000765246,3.37207e-08,0.586891,-9.96551e-08,-0.5044,0.424
-0.268488,-0.26778,0.000779464,1.87337e-08,0.624182,-6.13565e-08,-0.541063,0.428
-0.268485,-0.26778,0.000793807,1.04076e-08,0.661835,-3.74162e-08,-0.578004,0.432
-0.268481,-0.26778,0.000808275,5.78201e-09,0.699856,-2.26363e-08,-0.615262,0.436
-0.268478,-0.26778,0.000822869,3.21223e-09,0.738251,-1.36033e-08,-0.65286,0.44
-0.268475,-0.26778,0.000837587,1.78457e-09,0.777022,-8.12823e-09,-0.690812,0.444
-0.268471,-0.26778,0.00085243,9.91428e-10,0.816169,-4.83283e-09,-0.729127,0.448
-0.268468,-0.26778,0.000867398,5.50793e-10,0.855696,-2.86109e-09,-0.767813,0.452
-0.268464,-0.26778,0.000882491,3.83882e-05,0.808009,1.53479e-05,-0.806872,0.456
-0.268461,-0.26778,0.000897707,-1.70611e-05,0.974567,-1.36451e-05,-0.807377,0.46
-0.268457,-0.26778,0.000913048,2.89095e-05,0.910449,1.0801e-05,-0.881684,0.464
-0.268454,-0.26778,0.000928513,-2.23271e-05,1.06822,-1.44866e-05,-0.894468,0.468
-0.26845,-0.26778,0.000944102,-1.24039e-05,1.08715,-4.08032e-06,-0.97169,0.472
